Id,HotelName,Provider,CityName,CountryCode,CheckInDate,CheckOutDate,IsGuaranteed,Price
874162,"Bobopod Alun-Alun, Bandung",FR,Bandung,ID,10/29/2025,10/30/2025,TRUE,273415
874163,"voco Bandung Setiabudi, an IHG Hotel",KB,Bandung,ID,10/29/2025,10/31/2025,TRUE,2450000
874164,ASTON Kartika Grogol Hotel & Conference Center,DOTW,Jakarta,ID,11/7/2025,11/9/2025,FALSE,0
874165,Amaris Hotel Malioboro Jogjakarta,KB,Yogyakarta,ID,10/30/2025,10/31/2025,TRUE,466704
874166,JW Marriott Hotel Surabaya,JV,Surabaya,ID,11/4/2025,11/6/2025,FALSE,4441700.91
874167,Hotel Santika Pandegiling Surabaya,DOTW,Surabaya,ID,10/31/2025,11/1/2025,TRUE,0
874168,Amaris Hotel Sunset Road Bali,DOTW,Bali,ID,11/2/2025,11/3/2025,TRUE,0
874169,Brits Hotel Puri Indah,KB,Jakarta,ID,11/2/2025,11/5/2025,TRUE,1738237.92
874170,Movenpick Surabaya City,FR,Surabaya,ID,11/4/2025,11/6/2025,TRUE,3634073
874171,Yellow Star Hotel Gejayan,KB,Yogyakarta,ID,10/31/2025,11/4/2025,TRUE,2126302.18
874172,"Swiss-Belexpress Cideng, Tanah Abang",JV,Jakarta,ID,11/12/2025,11/13/2025,FALSE,376011
874173,Pangeran Beach Hotel Padang,KB,Padang,ID,10/30/2025,10/31/2025,TRUE,708890
874174,REZ Hotel Semarang,DIDA,Semarang,ID,11/12/2025,11/14/2025,FALSE,1166206
874175,Chanti Hotel Semarang,FR,Semarang,ID,10/31/2025,11/2/2025,TRUE,1366920
874176,Radisson Lampung Kedaton,KB,Bandar Lampung,ID,11/2/2025,11/5/2025,FALSE,2730000
874177,Grage Hotel Cirebon,KB,Cirebon,ID,10/30/2025,10/31/2025,TRUE,925213.53
874178,Quest Prime Pemuda Semarang,FR,Semarang,ID,10/29/2025,10/30/2025,TRUE,772432
874179,Grand Swiss-Belhotel Darmo Surabaya,KB,Surabaya,ID,10/29/2025,10/31/2025,TRUE,2340792.5
874180,Movenpick Surabaya City,DIDA,Surabaya,ID,11/4/2025,11/5/2025,TRUE,1003445
874181,Grand Swiss-Belhotel Darmo Surabaya,KB,Surabaya,ID,10/30/2025,11/1/2025,TRUE,1840695
874182,Hotel Santika Pandegiling Surabaya,JV,Surabaya,ID,10/31/2025,11/1/2025,TRUE,432379.06
874183,YELLO Hotel Manggarai Jakarta,JV,Jakarta,ID,11/11/2025,11/12/2025,TRUE,510029.88
874184,Amaris Hotel Palembang,KB,Palembang,ID,11/2/2025,11/8/2025,TRUE,4800000
874185,Golden Tulip Pontianak Hotel,KB,Pontianak,ID,11/26/2025,11/28/2025,FALSE,4670520
